Index,Abstract,Class
852,"The methodological foundations of comparative-historical sociology have been transformed dramatically in recent years. Arguments against general theoretical models have proliferated, while the complexity and uniqueness of historical events and the virtues of inductive methods have been emphasized. The growing convergence of sociology and history has led to a decline in the use of general theories. This article begins with a description and analysis of the recent transformation of the methodology of comparative-historical sociology. An overreliance on inductive methods has resulted in inadequate specifications of causal relations and causal mechanisms in recent comparative-historical sociology. The concluding section discusses a nascent rational choice research program in political sociology to illustrate an alternative methodology.",Sociology
536,"From aphasics' self records, common experience, changes in signification of sentences according to a verbal or non-verbal context, animals and non speaking children performances, it seems possible to get some evidence that thought is distinct from language even though there is a permanent interaction between both in normal adult human beings. Some considerations on formalisation of language suggests that the more formalised it is, the less information it contains. If it is true, it is not reasonable to hope that a formalised language like that used by computers may be a model for thought. Finally, the lack of status of thought, as far as it is a subjective experience and the impossibility of giving it a definition as far as it exceeds language, make it clear that in spite of progress in scientific psychology, thought, per se, is not an object for science.",Psychology
317,"ABSTRACT Qualitative research has grown within sport and exercise psychology and is now widely conducted. The purpose of this review is to discuss three commonly used ways to demonstrate rigor when conducting or judging qualitative research in sport and exercise psychology. These are the method of member checking, the method of inter-rater reliability, and the notion of universal criteria. Problems with each method are first highlighted. Member checking and inter-rater reliability are shown to be ineffective for verification, trustworthiness, or reliability purposes. Next, universal criteria within the context of Tracy’s, heavily drawn on paper within sport and exercise psychology is problematized. Throughout the discussion of each method and universal criteria more suitable possibilities for conducting rigorous qualitative research are offered. The paper concludes that to support high-quality qualitative research, scholars – including journal editors and reviewers – need to change how rigor is developed and judged, rather than perpetuate the problems with how it has been commonly evaluated in the past. Recommendations for developing rigor when conducting and/or judging qualitative research within sport and exercise psychology are also offered.",Psychology
600,"Developmental Cognitive Neuroscience is concerned with the relation between books in the series are of interest not only to developmental psychologists, but also to Handbook of Developmental Cognitive Neuroscience, Second Edition. An authoritative new work exploring the themes of communication and implementation of research within developmental psychology – a scientific field. The Oxford Handbook of Human Development and Culture. An Interdisciplinary Perspective. Edited by Lene Arnett Jensen, Ph.D. Oxford Library of Psychology.",Psychology
199,"The Lorentz violating term in the photon sector of Standard Model Extension, $\mathcal{L}_K = -{$\frac14$} (k_F)_{\alpha \beta \mu \nu} F^{\alpha \beta} F^{\mu \nu}$ (here referred to as the Kosteleck\'{y} term), breaks conformal invariance of electromagnetism and enables a superadiabatic amplification of magnetic vacuum fluctuations during inflation. For a wide range of values of parameters defining Lorentz symmetry violation and inflation, the present-day magnetic field can have an intensity of order of nanogauss on megaparsec scales and then could explain the large-scale magnetization of the universe.",Astronomy
514,"Over one billion people use the Internet globally. Psychologists are beginning to understand what people do online, and the impact being online has on behaviour. It's making us re-think many of our existing assumptions about what it means to be a social being. For instance, if we can talk, flirt, meet people and fall in love online, this challenges many of psychology's theories that intimacy or understanding requires physical co-presence. The Oxford Handbook of Internet Psychology brings together many of the leading researchers in what can be termed 'Internet Psychology'. Though a very new area of research, it is growing at a phenomenal pace. In addition to well-studied areas of investigation, such as social identity theory, computer-mediated communication and virtual communities, the volume also includes chapters on topics as diverse as deception and misrepresentation, attitude change and persuasion online, Internet addiction, online relationships, privacy and trust, health and leisure use of the Internet, and the nature of interactivity. With over 30 chapters written by experts in the field, the range and depth of coverage is unequalled, and serves to define this emerging area of research. Uniquely, this content is supported by an entire section covering the use of the Internet as a research tool, including qualitative and quantitative methods, online survey design, personality testing, ethics, and technological and design issues. While it is likely to be a popular research resource to be 'dipped into', as a whole volume it is coherent and compelling enough to act as a single text book. The Oxford Handbook of Internet Psychology is the definitive text on this burgeoning field. It will be an essential resource for anyone interested in the psychological aspects of Internet use, or planning to conduct research using the 'net'.",Psychology
945,"The Community Question has set the agenda for much or much of sociology. It is the question of how large-scale social systemic divisions of labor affect the organization and content of primary ties. Network analysis is proposed as a useful approach to the Community Question, because, by focusing on linkages, it avoids the a priori confinement of analysis to solidary groupings and territorial units. Three contentions about the Question are evaluated: arguments that Community is Lost, Saved or Liberted. Data are presented about the structure and use of the ""intimate"" networks of 845 adult residents of East York, Toronto. Intimate networks are found to be prevalent, composed of both kin and nonkin, nonlocal, asymmetric, and of sparse density. Help in dealing with both emergencies and everyday matters is available from almost all intimate networks, but from only a minority of intimate ties. The data provide broad support for the Liberated argument, in conjunction with some portions of the Saved argument.",Sociology
425,"Tax evasion is a complex phenomenon which is influenced not just by economic motives but by psychological factors as well. Economic-psychological research focuses on individual and social representations of taxation as well as decision-making. In this 2007 book, Erich Kirchler assembles research on tax compliance, with a focus on tax evasion, and integrates the findings into a model based on the interaction climate between tax authorities and taxpayers. The interaction climate is defined by citizens' trust in authorities and the power of authorities to control taxpayers effectively; depending on trust and power, either voluntary compliance, enforced compliance or no compliance are likely outcomes. Featuring chapters on the social representations of taxation, decision-making and self-employed income tax behaviour, this book will appeal to researchers in economic psychology, behavioural economics and public administration.",Psychology
439,"This paper systematically reviews research investigating the effects of positive psychology interventions applied in the organizational context. We characterize a positive psychology intervention as any intentional activity or method that is based on (a) the cultivation of positive subjective experiences, (b) the building of positive individual traits, or (c) the building of civic virtue and positive institutions. A systematic literature search identified 15 studies that examined the effects of such an intervention in organizational contexts. Subsequent analyses of those studies revealed that positive psychology interventions seem to be a promising tool for enhancing employee well-being and performance. As a side-effect, positive psychology interventions also tend to diminish stress and burnout and to a lesser extent depression and anxiety. Implications of those findings for theory and praxis and recommendations for future research on positive psychology interventions in organizations are discussed.",Psychology
839,"Historical sociologists have criticized their discipline for a tendency to ignore the temporal dimensions of social life, either by studying the correlates of outcomes rather than the character of temporally connected events or by treating events as surface manifestations of large-scale and long-term processes of change. These critiques have led to a reassessment of the value of narratives and to new methods for mapping historical sequences of events. Yet there has been relatively little discussion of the concepts needed to create a more event-centered historical sociology. This article explores the way in which four different concepts of time-duration, pace, trajectory, and cycle-have been used in recent historical social science. These concepts allow one to analyze the temporal characteristics of connected events that constitute long-term historical processes as well as the way in which actors understand and experience the temporal flow of events. They are most useful, the author argues when employed in a manner that is attentive to the understandings of social actors and the problematic reconstruction of the past. These concepts constitute building blocks for the construction of a more event-centered historical sociology.",Sociology
949,"Values may be seen as absolutes, as inherent in objects, as present within man, and as identical with his behavior. Absolutes are inaccessible to science. Values in objects cannot be discovered apart from human behavior relating to the objects. Internal states cannot be observed apart from action. Thus, what people do is all that can be known about their values. The meaning of an action can be grasped without recourse to any other kind of value concept if meaning is understood as the probability of other events preceding, accompanying, or following it. Norms can be seen as sets of verbal and non-verbal behavior.",Sociology
162,"The large optical reflector (~ 100 m^2) of a H.E.S.S. Cherenkov telescope was used to search for very fast optical transients of astrophysical origin. 43 hours of observations targeting stellar-mass black holes and neutron stars were obtained using a dedicated photometer with microsecond time resolution. The photometer consists of seven photomultiplier tube pixels: a central one to monitor the target and a surrounding ring of six pixels to veto background events. The light curves of all pixels were recorded continuously and were searched offline with a matched-filtering technique for flares with a duration of 2 us to 100 ms. As expected, many unresolved (&lt;3 us) and many long (&gt;500 us) background events originating in the earth's atmosphere were detected. In the time range 3 to 500 us the measurement is essentially background-free, with only eight events detected in 43 h; five from lightning and three presumably from a piece of space debris. The detection of flashes of brightness ~ 0.1 Jy and only 20 us duration from the space debris shows the potential of this setup to find rare optical flares on timescales of tens of microseconds. This timescale corresponds to the light crossing time of stellar-mass black holes and neutron stars.",Astronomy
121,"Polarimeric maps have been used on the characterization of the magnetic field in molecular clouds. However, it is difficult to determine the 3-dimensional properties of these regions from the projected maps. In that case, numerical simulations can be used as benchmarks for polarimetric measurements, and evetually reveal more about the interplay of turbulence and the magnetic field lines. In this work we provide a number of MHD numerical simulations of turbulent molecular clouds and created their synthetic dust emission polarization maps, varying the direction of the observer. We determined the correlation of emission intensity and polarization degree for the simulated models. We were able to reproduce the decay on polarization degree at denser regions without any assumption regarding the properties of the dusty component. The anti-correlation arises from the simple cancelation of the polarization vectors along the line of sight. This effect is amplified within denser regions as the magnetic field configuration becomes more complex. We studied the probability distribution, the power spectrum and the structure function of the polarization angles. These statistical analysis revealed strong defferences depending on the turbulent regime (i.e. sub/supersonic and sub/super-Alfvenic). Therefore, these methods can be used on polarimetric observations to characterize the dynamics of molecular clouds. We also presented a modified Chandrashekhar-Fermi method to obtain the intensity of the local magnetic field. The proposed formulation showed no limitations regarding orientation or turbulent regime.",Astronomy
131,"Aim: The aim of this work was to search for double mode pulsators among RR Lyr variables of globular cluster Omega Cen. Methods: We conducted a systematic frequency analysis of CASE photometry of Omega Cen RR Lyr stars. We searched for periodicities using Fourier and ANOVA periodograms, combined with consecutive prewhitening technique. Results: We discovered six double mode pulsators, with the first overtone and a secondary mode of higher frequency simultaneously excited. These are the first double mode RR Lyr stars identified in Omega Cen. In variable V10 period ratio of the two modes is 0.80, which corresponds to pulsations in the first and second radial overtones. In V19 and V105 we found unexpected period ratio of 0.61. Three other stars display period ratios of either ~0.80 or ~0.61, depending on the choice of aliases. Conclusions: While the period ratio of ~0.80 is easy to interpret in terms of two lowest radial overtones, the value of ~0.61 cannot be explained by any two radial modes. Thus, V19 and V105 are the first members of a new class of double mode RR Lyr pulsators.",Astronomy
620,"Sexual selection theory provides a powerful model for the analysis of psychological sex differences. This research examined (a) tests of several sex differences in mating psychology predicted from sexual selection theory, (b) broad developmental hypotheses about sex differences in mating psychology--through the relationship of mating psychology to sexual orientation, and (c) the structure of within-sex differences in mating psychology. Scales measuring aspects of mating psychology were administered to heterosexual and homosexual Ss of both sexes. The structure of scale intercorrelations was similar across groups. All scales yielded sex differences consistent with sexual selection theory. Homosexual Ss generally obtained scores similar to those of same-sex heterosexual Ss, though several scales were significantly related to sexual orientation. Findings constrain hypotheses concerning the origins of sex differences.",Psychology
257,Dark Matter candidates are natural in Technicolor theories. We introduce a general framework allowing to predict signals of Technicolor Dark Matter at colliders and set constraints from earth based experiments such as CDMS and XENON. We show that the associate production of the composite Higgs can lead to relevant signals at the Large Hadron Collider.,Astronomy
784,"This article argues that the descriptive turn evident in contemporary capitalism challenges orthodox sociological emphases on the central importance of causality and the denigration of descriptive methods. The article reviews the different evocations of descriptive sociology pronounced by three very different contemporary sociologists: Andrew Abbott, John Goldthorpe, and Bruno Latour, and lays out their different approaches to the role of the `sociological descriptive'. It is argued that their apparent differences need to be placed in a broader re-orientation of sociology away from its historical interface with the humanities and towards the natural sciences. How this reorientation involves a new role for visual methods which have traditionally been decried in orthodox sociology is examined, and the article concludes with suggestions for how sociology might best orient itself to the descriptive turn.",Sociology
659,The Art of Standing Up to Words A Science that Makes Trouble The Sociologist in Question Are Intellectuals Out of Play? How Can `Free-Floating Intellectuals' Be Set Free? For a Sociology of Sociologists The Paradox of the Sociologist What Talking Means Some Properties of Fields The Linguistic Market Censorship 'Youth' is Just a Word Music-Lovers Origin and Evolution of the Species The Metamorphosis of Tastes How Can Anyone Be a Sportsman? Haute Couture and Haute Culture But Who Created the `Creators'? Public Opinion Does Not Exist Culture and Politics Strikes and Political Action The Racism of `Intelligence',Sociology
727,"Since Durkheim's classic work on suicide, sociological attention to understanding the roots of self-destruction has been inconsistent. In this review, we use three historical periods of interest (pre-Durkheim, Durkheim, post-Durkheim) to organize basic findings in the body of sociological knowledge regarding suicide. Much of the twentieth-century research focused on issues of integration and regulation, imitation, and the social construction of suicide rates. Innovations in the twenty-first-century resurgence of sociological research on suicide are described in detail. These newer studies begin to redirect theory and analysis toward a focus on ethnoracial subgroups, individual-level phenomena (e.g., ideation), and age-period-cohort effects. Our analysis of sociology's contributions, limits, and possibilities leads to a recognition of the need to break through bifurcations in individual- and aggregate-level studies, to pursue the translation of Durkheim's original theory into a network perspective as one a...",Sociology
981,"The sociology of disasters has developed in ways that have weakened its ties with mainstream sociology. It has remained remarkably resistant to changes in the broader sociological landscape, and its strong applied focus has been a barrier to theoretical innovation. This situation is changing, as indicated by critiques of traditional ways of conceptualizing and explaining disasters; greater acceptance of constructivist formulations; willingness to acknowledge that disasters are accompanied by both social solidarity and social conflict; and recognition of the significance of the interaction of disasters and risk with gender, class, and other axes of inequality. However, the field is unlikely to overcome its marginal status without significant efforts to link the sociology of disasters with the related fields of risk and environmental sociology and, more broadly, to focus on core sociological concerns, such as social inequality, diversity, and social change.",Sociology
175,"Large-scale radial transport of solids appears to be a fundamental consequence of protoplanetary disk evolution based on the presence of high temperature minerals in comets and the outer regions of protoplanetary disks around other stars. Further, inward transport of solids from the outer regions of the solar nebula has been postulated to be the manner in which short-lived radionuclides were introduced to the terrestrial planet region and the cause of the variations in oxygen isotope ratios seen in primitive materials. Here, both outward and inward transport of solids are investigated in the context of a two-dimensional, viscously evolving protoplanetary disk. The dynamics of solids are investigated to determine how they depend on particle size and the particular stage of protoplanetary disk evolution, corresponding to different rates of mass transport. It is found that the outward flows that arise around the disk midplane of a protoplanetary disk aid in the outward transport of solids up to the size of CAIs and can increase the crystallinity fraction of silicate dust at 10 AU around a solar mass star to as much as $\sim$40% in the case of rapidly evolving disks, decreasing as the accretion rate onto the star slows. High velocity, inward flows along the disk surface aid in the rapid transport of solids from the outer disk to the inner disk, particularly for small dust. Despite the diffusion that occurs throughout the disk, the large-scale, meridonal flows associated with mass transport prevent complete homogenization of the disk, allowing compositional gradients to develop that vary in intensity for a timescale of one million years.",Astronomy
237,"The form of the primordial power spectrum has the potential to differentiate strongly between competing models of perturbation generation in the early universe and so is of considerable importance. The recent release of five years of WMAP observations have confirmed the general picture of the primordial power spectrum as deviating slightly from scale invariance with a spectral tilt parameter of n_s ~ 0.96. Nonetheless, many attempts have been made to isolate further features such as breaks and cutoffs using a variety of methods, some employing more than ~ 10 varying parameters. In this paper we apply the robust technique of Bayesian model selection to reconstruct the optimal degree of structure in the spectrum. We model the spectrum simply and generically as piecewise linear in ln k between `nodes' in k-space whose amplitudes are allowed to vary. The number of nodes and their k-space positions are chosen by the Bayesian evidence so that we can identify both the complexity and location of any detected features. Our optimal reconstruction contains, perhaps, surprisingly few features, the data preferring just three nodes. This reconstruction allows for a degree of scale dependence of the tilt with the `turn-over' scale occuring around k ~ 0.016 Mpc^{-1}. More structure is penalised by the evidence as over-fitting the data, so there is currently little point in attempting reconstructions that are more complex.",Astronomy
798,"This essay argues that the material conditions of capitalist patriarchal societies are more integrally linked to institutionalized heterosexuality than they are to gender. Building on the critical strategies of early feminist sociology through the articulation of a materialist feminist theoretical framework, the author provides a critique of contemporary sex-gender theory. She argues that the heterosexual imaginary in feminist sociological theories of gender conceals the operation of heterosexuality in structuring gender and closes off any critical analysis of heterosexuality as an organizing institution. ? . . every sociological concept and thesis, as well as the overall patterning of these concepts and theses, is potentially open for reconsideration . . . With the emergence of feminist sociological theory, the critical emphases in sociology are strengthened by an insistence that sociological work be critical and change-oriented ... in an intensely reflexive way towards sociology itself (Lengermann and Niebrugge-Brantley 1990:318). We must produce a political transformation of the key concepts, that is of the concepts which are strategic for us (Wittig 1992:30). Feminist sociology, once at the vanguard of academic feminism, is showing signs of",Sociology
285,"We present a novel, fast and precise method for including the effect of light neutrinos in cosmological N-body simulations. The effect of the neutrino component is included by using the linear theory neutrino perturbations in the calculation of the gravitational potential in the N-body simulation. By comparing this new method with the full non-linear evolution first presented in \cite{Brandbyge1}, where the neutrino component was treated as particles, we find that the new method calculates the matter power spectrum with an accuracy better than 1% for \sum m_\nu \lesssim 0.5 eV at z = 0. This error scales approximately as (\sum m_\nu)^2, making the new linear neutrino method extremely accurate for a total neutrino mass in the range 0.05 - 0.3 eV. At z = 1 the error is below 0.3% for \sum m_\nu \lesssim 0.5 eV and becomes negligible at higher redshifts. This new method is computationally much more efficient than representing the neutrino component by N-body particles.",Astronomy
641,"Marriage increased in the United States from I920 to I930 even when age, nativity, and urban-rural composition are held constant. Early marriage is not increasing. Urban-rural differences and sex differences are less. There are fewer widowed. The volume of marriage among men is nearly the same under varying social conditions, while among women it varies more widely. The large cities discourage marriage, if farms be taken as the norm, by I5 per cent. The country is becoming somewhat more homogeneous in respect to marriage. There have been a number of significant changes in regard to marriage in the United States since the census of I920. In this paper there will be analyzed and discussed a number of the more important changes for which data exist. THE INCREASE IN MARRIAGE The number of marriages increased, per unit of population, from I920 to I930. In I920 there were 599 married out of every i,ooo persons fifteen years old and older, while in I930 there were 605. Why has there been an increase in the numbers married? One possible reason is that the adult population of the present day may have a greater average age than the population of earlier decades, for among the younger ages there are fewer married than among those a little older. There is a technique which can be used to eliminate this variation in age of the population between different years so that comparisons can be made in the percentages married on the basis of populations of the same age. Applying this technique,",Sociology
328,"Allport (1954) recognized that attachment to one's ingroups does not necessarily require hostility toward outgroups. Yet the prevailing approach to the study of ethnocentrism, ingroup bias, and prejudice presumes that ingroup love and outgroup hate are reciprocally related. Findings from both cross-cultural research and laboratory experiments support the alternative view that ingroup identification is independent of negative attitudes toward outgroups and that much ingroup bias and intergroup discrimination is motivated by preferential treatment of ingroup members rather than direct hostility toward outgroup members. Thus to understand the roots of prejudice and discrimination requires first of all a better understanding of the functions that ingroup formation and identification serve for human beings. This article reviews research and theory on the motivations for maintenance of ingroup boundaries and the implications of ingroup boundary protection for intergroup relations, conflict, and conflict prevention.",Psychology
307,"The work cited by the Nobel committee was done jointly with Amos Tversky (1937-1996) during a long and unusually close collaboration. Together, we explored the psychology of intuitive beliefs and choices and examined their bounded rationality. Herbert A. Simon (1955, 1979) had proposed much earlier that decision makers should be viewed as boundedly rational, and had offered a model in which utility maximization was replaced by satisficing. Our research attempted to obtain a map of bounded rationality, by exploring the systematic biases that separate the beliefs that people have and the choices they make from the optimal beliefs and choices assumed in rational-agent models. The",Psychology
573,During the recent years the mainstream framework for HCI research — the informationprocessing cognitive psychology —has gained more and more criticism because of serious problems in applying it both in research and practical design. In a debate within HCI research the capability of information processing psychology has been questioned and new theoretical frameworks searched. This paper presents an overview of the situation and discusses potentials of Activity Theory as an alternative framework for HCI research and design.,Psychology
860,"The innovative and revolutionary scholarship of the eminent Austrian legal theorist and professor of Roman law, Eugen Ehrlich (1862-1922), is of a very high caliber. His work has not only held its place well in view of what legal theory, especially sociological legal theory, has to offer, but is also still a powerful challenge to positions in legal theory that are no longer defensible. The sociology of law has followed in a direct line of succession from Ehrlich's observations and ideas as a new and special discipline linking jurisprudence with sociology.",Sociology
100,"We know that the galactic magnetic field possesses a random component in addition to the mean uniform component, with comparable strength of the two components. This random component is considered to play important roles in the evolution of the interstellar medium (ISM). In this work we present numerical simulations associated with the interaction of the supersonic flows located at high latitude in our Galaxy (High Velocity Clouds, HVC) with the magnetized galactic ISM in order to study the effect that produces a random magnetic field in the evolution of this objects.",Astronomy
251,"Jet physics is again flourishing as a result of Chandra's ability to resolve high-energy emission from the radio-emitting structures of active galaxies and separate it from the X-ray-emitting thermal environments of the jets. These enhanced capabilities have coincided with an increasing interest in the link between the growth of super-massive black holes and galaxies, and an appreciation of the likely importance of jets in feedback processes. I review the progress that has been made using Chandra and XMM-Newton observations of jets and the medium in which they propagate, addressing several important questions, including: Are the radio structures in a state of minimum energy? Do powerful large-scale jets have fast spinal speeds? What keeps jets collimated? Where and how does particle acceleration occur? What is jet plasma made of? What does X-ray emission tell us about the dynamics and energetics of radio plasma/gas interactions? Is a jet's fate determined by the central engine?",Astronomy
468,"To have is to be - is that the question? biological accounts of possessions and property - the ""acquisitive instinct"" in modern disguise? the individual-centred approach - material possessions as parts of the extended self a social constructionist perspective - possessions as material symbols of identity possessions as symbolic expressions of identity material possessions as reflections of identity - gender, social-material position and social groups fine weather makes fine birds - the impact of material context on perceived identity the current Western conception of identity - the materialism-idealism paradox.",Psychology
660,"The emotions that human beings experience play a fundamental role in all social phenomena. As a result, sociology needs to incorporate the analysis of affective structures and emotional dynamics into its objects of study. The integration of feelings, affects, moods and emotional states into sociological research, which began four decades ago with the birth of the sociology of emotions, must continue advancing until emotions are fully integrated into the general sociological perspective. This article offers an introductory and critical overview of the work sociologists of emotions have carried out so far. They have helped us, first of all, to understand what an emotion is, the countless number of existing feelings, and the great complexity of emotional processes. Second, they have revealed the social nature of human emotions, and the emotional nature of social phenomena. Third, they have developed a number of theoretical approaches to studying the emotions. And, lastly, they have carried out sociological analyses of many specific emotions (fear, trust, shame, etc.), and emotional analyses in many areas of sociology (gender, work, organizations, social movements, etc.). This article also offers suggestions for the future development of the sociology of emotions, and a selected and updated bibliography.",Sociology
67,"Recently the PAMELA satellite-based experiment reported an excess of galactic positrons that could be a signal of annihilating dark matter. The PAMELA data may admit an interpretation as a signal from a wino-like LSP of mass about 200 GeV, normalized to the local relic density, and annihilating mainly into W-bosons. This possibility requires the current conventional estimate for the energy loss rate of positrons be too large by roughly a factor of five. Data from anti-protons and gamma rays also provide tension with this interpretation, but there are significant astrophysical uncertainties associated with their propagation. It is not unreasonable to take this well-motivated candidate seriously, at present, in part because it can be tested in several ways soon. The forthcoming PAMELA data on higher energy positrons and the FGST (formerly GLAST) data, should provide important clues as to whether this scenario is correct. If correct, the wino interpretation implies a cosmological history in which the dark matter does not originate in thermal equilibrium.",Astronomy
477,"Chronic diseases carry important psychological and social consequences that demand significant psychological adjustment. The literature is providing increasingly nuanced conceptualizations of adjustment, demonstrating that the experience of chronic disease necessitates adaptation in multiple life domains. Heterogeneity in adjustment is apparent between individuals and across the course of the disease trajectory. Focusing on cancer, cardiovascular disease, and rheumatic diseases, we review longitudinal investigations of distal (socioeconomic variables, culture/ethnicity, and gender-related processes) and proximal (interpersonal relationships, personality attributes, cognitive appraisals, and coping processes) risk and protective factors for adjustment across time. We observe that the past decade has seen a surge in research that is longitudinal in design, involves adequately characterized samples of sufficient size, and includes statistical control for initial values on dependent variables. A progressively convincing characterization of risk and protective factors for favorable adjustment to chronic illness has emerged. We identify critical issues for future research.",Psychology
